2019-10-23 22:54:37.477 [main-330] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7317179d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-23 22:54:38.099 [main-652] INFO  com.example.HelloApplication 652 logStartupProfileInfo - The following profiles are active: dev
2019-10-23 22:54:38.847 [main-131] WARN  org.springframework.boot.actuate.endpoint.EndpointId 131 logWarning - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-10-23 22:54:38.977 [main-295] INFO  org.springframework.cloud.context.scope.GenericScope 295 setSerializationId - BeanFactory id=58550074-2be2-3edc-921a-bb5da722c6b4
2019-10-23 22:54:39.037 [main-330] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7317179d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-23 22:54:39.236 [main-90] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8881 (http)
2019-10-23 22:54:39.257 [main-173] INFO  org.apache.coyote.http11.Http11NioProtocol 173 log - Initializing ProtocolHandler ["http-nio-8881"]
2019-10-23 22:54:39.257 [main-173] INFO  org.apache.catalina.core.StandardService 173 log - Starting service [Tomcat]
2019-10-23 22:54:39.257 [main-173] INFO  org.apache.catalina.core.StandardEngine 173 log - Starting Servlet engine: [Apache Tomcat/9.0.26]
2019-10-23 22:54:39.446 [main-173] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 log - Initializing Spring embedded WebApplicationContext
2019-10-23 22:54:39.446 [main-284] INFO  org.springframework.web.context.ContextLoader 284 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1321 ms
2019-10-23 22:54:39.536 [main-121] WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
2019-10-23 22:54:39.536 [main-122] INFO  com.netflix.config.sources.URLConfigurationSource 122 <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-10-23 22:54:39.546 [main-281] INFO  com.netflix.config.DynamicPropertyFactory 281 getInstance - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@feb98ef
2019-10-23 22:54:40.327 [main-121] WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
2019-10-23 22:54:40.327 [main-122] INFO  com.netflix.config.sources.URLConfigurationSource 122 <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-10-23 22:54:40.457 [main-171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-23 22:54:40.797 [main-58] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver 58 <init> - Exposing 19 endpoint(s) beneath base path '/actuator'
